MONTH,YEAR,CA_NO,MTR_NO,ZONE_NAME,REGION,UNIT_CODE,ACC_CLASS,SUB_DIVISION,TAMPER_COUNT,KWH,PAY_AGAINST_CURR_DMD,PAY_AGAINST_ARREARS,PAYMENT_AGAINST_TOTAL,BUCKETING_DERIVED,BUCKETING_DISPLAY
JUNE,2023,100001,200001,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-1,SD-A,0,245.5,1200,0,1200,On-time,D_[On_Due_Date]
JUNE,2023,100002,200002,SHASTRI PARK,NORTH,UC02,LMV-1,SD-B,0,310.0,0,500,0,Defaulter,I_[Defaulter]
JUNE,2023,100003,200003,NEW SEELAMPUR,EAST,UC03,LMV-2,SD-C,1,180.2,900,200,1100,On-time,C_[1-3_Days_(Prior_DD)]
JUNE,2023,100004,200004,GHONDA,NORTH,UC04,LMV-1,SD-D,0,420.8,2100,0,2100,On-time,A_[Greater_than_7_Days_(Prior_DD)]
JUNE,2023,100005,200005,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-3,SD-A,0,95.0,0,800,0,Defaulter,I_[Defaulter]
JUNE,2023,100006,200006,SHASTRI PARK,NORTH,UC02,LMV-1,SD-B,0,512.3,2560,0,2560,On-time,B_[4-7_Days_(Prior_DD)]
JUNE,2023,100007,200007,NEW SEELAMPUR,EAST,UC03,LMV-2,SD-C,0,78.4,390,100,490,On-time,E_[1-3_Days_(After_DD)]
JUNE,2023,100008,200008,GHONDA,NORTH,UC04,LMV-1,SD-D,2,630.1,0,1500,0,Defaulter,I_[Defaulter]
JUNE,2023,100009,200009,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-1,SD-A,0,200.0,1000,0,1000,On-time,D_[On_Due_Date]
JUNE,2023,100010,200010,SHASTRI PARK,NORTH,UC02,LMV-2,SD-B,0,340.7,1700,300,2000,On-time,F_[4-6_Days_(After_DD)]
JULY,2023,100001,200001,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-1,SD-A,0,260.0,1300,0,1300,On-time,C_[1-3_Days_(Prior_DD)]
JULY,2023,100002,200002,SHASTRI PARK,NORTH,UC02,LMV-1,SD-B,0,295.5,0,600,0,Defaulter,I_[Defaulter]
JULY,2023,100003,200003,NEW SEELAMPUR,EAST,UC03,LMV-2,SD-C,0,195.0,975,0,975,On-time,D_[On_Due_Date]
JULY,2023,100004,200004,GHONDA,NORTH,UC04,LMV-1,SD-D,0,445.2,2226,0,2226,On-time,A_[Greater_than_7_Days_(Prior_DD)]
JULY,2023,100005,200005,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-3,SD-A,0,102.3,0,900,0,Defaulter,I_[Defaulter]
JULY,2023,100006,200006,SHASTRI PARK,NORTH,UC02,LMV-1,SD-B,0,530.8,2654,0,2654,On-time,B_[4-7_Days_(Prior_DD)]
JULY,2023,100007,200007,NEW SEELAMPUR,EAST,UC03,LMV-2,SD-C,0,88.9,444,50,494,On-time,G_[7-9_(After_DD)]
JULY,2023,100008,200008,GHONDA,NORTH,UC04,LMV-1,SD-D,1,650.0,0,1700,0,Defaulter,I_[Defaulter]
JULY,2023,100009,200009,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-1,SD-A,0,215.5,1077,0,1077,On-time,E_[1-3_Days_(After_DD)]
JULY,2023,100010,200010,SHASTRI PARK,NORTH,UC02,LMV-2,SD-B,0,355.1,1775,0,1775,On-time,D_[On_Due_Date]
AUGUST,2023,100001,200001,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-1,SD-A,0,278.3,1391,0,1391,On-time,A_[Greater_than_7_Days_(Prior_DD)]
AUGUST,2023,100002,200002,SHASTRI PARK,NORTH,UC02,LMV-1,SD-B,0,320.0,0,700,0,Defaulter,I_[Defaulter]
AUGUST,2023,100003,200003,NEW SEELAMPUR,EAST,UC03,LMV-2,SD-C,0,210.6,1053,0,1053,On-time,B_[4-7_Days_(Prior_DD)]
AUGUST,2023,100004,200004,GHONDA,NORTH,UC04,LMV-1,SD-D,0,480.0,2400,0,2400,On-time,D_[On_Due_Date]
AUGUST,2023,100005,200005,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-3,SD-A,0,115.0,0,1000,0,Defaulter,I_[Defaulter]
AUGUST,2023,100006,200006,SHASTRI PARK,NORTH,UC02,LMV-1,SD-B,0,560.4,2802,0,2802,On-time,C_[1-3_Days_(Prior_DD)]
AUGUST,2023,100007,200007,NEW SEELAMPUR,EAST,UC03,LMV-2,SD-C,0,92.1,460,0,460,On-time,H_[10-15_Days_(After_DD)]
AUGUST,2023,100008,200008,GHONDA,NORTH,UC04,LMV-1,SD-D,0,670.5,0,1800,0,Defaulter,I_[Defaulter]
AUGUST,2023,100009,200009,C-12 YAMUNA VIHAR,NORTH,UC01,LMV-1,SD-A,0,230.0,1150,0,1150,On-time,D_[On_Due_Date]
AUGUST,2023,100010,200010,SHASTRI PARK,NORTH,UC02,LMV-2,SD-B,0,370.9,1854,0,1854,On-time,F_[4-6_Days_(After_DD)]
